country,year,gdpindex,gdp,euroarea,gr00to07,gr08to15,gr00to07Annual,gr08to15Annual
Austria,2007,100,295889.40625,1,16.623852,4.7512684,2.2212186,.66532469
Austria,2008,101.54726,300467.59375,1,16.623852,4.7512684,2.2212186,.66532469
Austria,2009,97.6894,289052.59375,1,16.623852,4.7512684,2.2212186,.66532469
Austria,2010,99.573524,294627.5,1,16.623852,4.7512684,2.2212186,.66532469
Austria,2011,102.36953,302900.59375,1,16.623852,4.7512684,2.2212186,.66532469
Austria,2012,103.14482,305194.59375,1,16.623852,4.7512684,2.2212186,.66532469
Austria,2013,103.47616,306175,1,16.623852,4.7512684,2.2212186,.66532469
Austria,2014,103.8419,307257.1875,1,16.623852,4.7512684,2.2212186,.66532469
Austria,2015,104.75127,309947.90625,1,16.623852,4.7512684,2.2212186,.66532469
Belgium,2007,100,361135.40625,1,15.948018,5.8511033,2.1363833,.81564033
Belgium,2008,100.74712,363833.5,1,15.948018,5.8511033,2.1363833,.81564033
Belgium,2009,98.445152,355520.3125,1,15.948018,5.8511033,2.1363833,.81564033
Belgium,2010,101.09809,365101,1,15.948018,5.8511033,2.1363833,.81564033
Belgium,2011,102.91467,371661.3125,1,15.948018,5.8511033,2.1363833,.81564033
Belgium,2012,103.07793,372250.90625,1,15.948018,5.8511033,2.1363833,.81564033
Belgium,2013,103.08109,372262.3125,1,15.948018,5.8511033,2.1363833,.81564033
Belgium,2014,104.41649,377084.90625,1,15.948018,5.8511033,2.1363833,.81564033
Belgium,2015,105.8511,382265.8125,1,15.948018,5.8511033,2.1363833,.81564033
Bulgaria,2007,100,37260.19921875,,52.53632,9.1776257,6.2175255,1.2622712
Bulgaria,2008,105.64705,39364.30078125,,52.53632,9.1776257,6.2175255,1.2622712
Bulgaria,2009,101.18893,37703.19921875,,52.53632,9.1776257,6.2175255,1.2622712
Bulgaria,2010,101.24422,37723.8,,52.53632,9.1776257,6.2175255,1.2622712
Bulgaria,2011,102.84782,38321.30078125,,52.53632,9.1776257,6.2175255,1.2622712
Bulgaria,2012,103.09151,38412.1015625,,52.53632,9.1776257,6.2175255,1.2622712
