start,end,iso3,FiveYrSD,FiveYrAverageGDPgrowth
1997,2001,ABW,3.596518,1.9611995
1998,2002,ABW,2.4568889,.7209332
1999,2003,ABW,3.9393764,1.9939338
2000,2004,ABW,3.6798091,1.3264595
2001,2005,ABW,3.6086004,1.4754769
2002,2006,ABW,2.9802392,2.3793926
2003,2007,ABW,4.027349,1.5554094
2004,2008,ABW,3.8408899,-1.3247454
2005,2009,ABW,3.9420929,-2.690784
2006,2010,ABW,4.0975699,-3.4585776
2007,2011,ABW,1.6286207,-5.3964767
2008,2012,ABW,.86818564,-6.2674017
2000,2004,AFG,5.2245345,4.7498598
2001,2005,AFG,5.2354412,6.8916631
2002,2006,AFG,4.3267164,6.5572815
2003,2007,AFG,4.9355073,7.9938664
2004,2008,AFG,5.2860494,7.0273075
2005,2009,AFG,6.9318123,11.020326
2006,2010,AFG,7.0243349,10.471931
2007,2011,AFG,6.9302258,10.583839
2008,2012,AFG,7.0157404,10.722747
2009,2013,AFG,7.459321,10.392298
2010,2014,AFG,5.3470602,6.4506741
2011,2015,AFG,6.040164,5.95502
1997,2001,AGO,2.1976066,5.0355206
1998,2002,AGO,4.5082622,6.2198792
1999,2003,AGO,5.1919842,6.0736585
2000,2004,AGO,5.9229393,7.0182781
2001,2005,AGO,6.7888103,9.0213795
1997,2001,ALB,9.35781,5.2558246
1998,2002,ALB,3.4242191,8.2696695
1999,2003,ALB,3.5528901,7.6225972
2000,2004,ALB,1.3649474,6.0642738
2001,2005,ALB,1.3255714,5.875114
2002,2006,ALB,.652174,5.37325
2003,2007,ALB,.17178226,5.7069759
2004,2008,ALB,.83963752,6.0582781
2005,2009,ALB,1.4932872,5.5863667
2006,2010,ALB,1.7039381,5.1842027
2007,2011,ALB,2.0513217,4.6079998
2008,2012,ALB,2.308229,3.7119999
2009,2013,ALB,1.1469176,2.428
2010,2014,ALB,1.0246561,2.1919999
2011,2015,ALB,.66314274,1.8125
1997,2001,AND,3.0025122,4.718822
1998,2002,AND,2.1604605,4.1906562
1999,2003,AND,3.9827096,5.9564829
2000,2004,AND,3.9150343,6.7505674
2001,2005,AND,2.3663361,8.085351
2002,2006,AND,2.7447629,7.7890568
2003,2007,AND,4.4631157,6.5192957
2004,2008,AND,6.9421597,2.3956606
2005,2009,AND,6.5369859,.018162388
2006,2010,AND,5.0932474,-2.619374
2007,2011,AND,3.122385,-4.4969711
2008,2012,AND,2.4940782,-4.8645811
2009,2013,AND,2.2060573,-3.1584327
2010,2014,AND,2.5115063,-2.9935443
2011,2015,AND,2.4012341,-2.2087333
1997,2001,ARB,1.3157233,3.7022476
1998,2002,ARB,1.5067308,3.2093668
1999,2003,ARB,1.6407551,3.308392
2000,2004,ARB,2.9145465,4.6904898
2001,2005,ARB,2.997438,4.942112
2002,2006,ARB,2.7260785,5.916573
2003,2007,ARB,1.5469728,6.707056
2004,2008,ARB,1.3430465,6.9324675
2005,2009,ARB,2.2549839,5.4027114
2006,2010,ARB,2.2189202,5.0976539
2007,2011,ARB,1.9353915,4.3458395
2008,2012,ARB,2.1224248,4.5201764
2009,2013,ARB,1.9437284,3.8186948
2010,2014,ARB,1.7263622,3.9768965
2011,2015,ARB,1.9381549,3.7963457
1997,2001,ARE,4.5714746,4.7272792
1998,2002,ARE,4.1902704,3.5758908
1999,2003,ARE,4.2505112,5.2776003
2000,2004,ARE,4.3628163,6.6104445
2001,2005,ARE,3.6751478,5.4109321
2002,2006,ARE,3.2895317,7.0985789
2003,2007,ARE,3.0302145,7.2487655
2004,2008,ARE,3.3349648,6.1270247
2005,2009,ARE,5.4330163,3.165153
2006,2010,ARE,5.3731117,2.5212145
