day,year,sseclose,sp500close,see_return,sp500_return,120-day correlation between Shanghai Composite Index and S&P500 returns,,,
2000-01-03,2000,1366.579956,1455.219971,0,-0.009549109,,,,
2000-01-04,2000,1406.369995,1399.420044,0.029116509,-0.038344666,,,,
2000-01-05,2000,1409.680054,1402.109985,0.002353619,0.001922183,,,,
2000-01-06,2000,1463.939941,1403.449951,0.038490925,0.000955678,,,,
2000-01-07,2000,1516.599976,1441.469971,0.035971444,0.027090399,,,,
2000-01-10,2000,1545.109985,1457.599976,0.018798634,0.011189969,,,,
2000-01-11,2000,1479.780029,1438.560059,-0.042281751,-0.013062512,,,,
2000-01-12,2000,1438.02002,1432.25,-0.028220417,-0.004386371,,,,
2000-01-13,2000,1424.439941,1449.680054,-0.009443595,0.012169701,,,,
2000-01-14,2000,1408.849976,1465.150024,-0.010944628,0.0106713,,,,
2000-01-17,2000,1433.329956,,0.01737586,,,,,
2000-01-18,2000,1426.619995,1455.140015,-0.004681379,-0.006832072,,,,
2000-01-19,2000,1440.719971,1455.900024,0.009883484,0.000522293,,,,
2000-01-20,2000,1466.859985,1445.569946,0.018143717,-0.007095321,,,,
2000-01-21,2000,1465.079956,1441.359985,-0.001213496,-0.002912319,,,,
2000-01-24,2000,1477.339966,1401.530029,0.00836815,-0.027633594,,,,
2000-01-25,2000,1476.51001,1410.030029,-0.000561791,0.006064801,,,,
2000-01-26,2000,1481.119995,1404.089966,0.003122217,-0.004212721,,,,
2000-01-27,2000,1506.77002,1398.560059,0.017317992,-0.003938428,,,,
2000-01-28,2000,1535,1360.160034,0.018735427,-0.027456829,,,,
2000-01-31,2000,1535,1394.459961,0,0.025217567,,,,
2000-02-01,2000,1535,1409.280029,0,0.010627819,,,,
2000-02-02,2000,1535,1409.119995,0,-0.000113557,,,,
2000-02-03,2000,1535,1424.969971,0,0.011248138,,,,
2000-02-04,2000,1535,1424.369995,0,-0.000421044,,,,
2000-02-07,2000,1535,1424.23999,0,-9.12718E-05,,,,
2000-02-08,2000,1535,1441.719971,0,0.012273199,,,,
2000-02-09,2000,1535,1411.709961,0,-0.020815423,,,,
2000-02-10,2000,1535,1416.829956,0,0.003626804,,,,
2000-02-11,2000,1535,1387.119995,0,-0.02096932,,,,
2000-02-14,2000,1673.939941,1389.939941,0.090514623,0.002032951,,,,
2000-02-15,2000,1670.670044,1402.050049,-0.001953414,0.008712684,,,,
2000-02-16,2000,1693.109985,1387.670044,0.013431702,-0.010256413,,,,
2000-02-17,2000,1640.650024,1388.26001,-0.030984379,0.000425148,,,,
2000-02-18,2000,1668.089966,1346.089966,0.016725043,-0.030376187,,,,
2000-02-21,2000,1677.140015,,0.005425396,,,,,
2000-02-22,2000,1632.290039,1352.170044,-0.026741939,0.004516844,,,,
2000-02-23,2000,1594.930054,1360.689941,-0.022888081,0.006300907,,,,
2000-02-24,2000,1634.310059,1353.430054,0.024690742,-0.005335446,,,,
2000-02-25,2000,1631.579956,1333.359985,-0.001670492,-0.01482904,,,,
2000-02-28,2000,1704.849976,1348.050049,0.044907402,0.011017327,,,,
2000-02-29,2000,1714.579956,1366.420044,0.005707236,0.013627087,,,,
2000-03-01,2000,1697.73999,1379.189941,-0.009821627,0.009345514,,,,
2000-03-02,2000,1713.01001,1381.76001,0.008994321,0.001863462,,,,
2000-03-03,2000,1738.02002,1409.170044,0.014600038,0.019837044,,,,
2000-03-06,2000,1681.079956,1391.280029,-0.032761455,-0.012695426,,,,
2000-03-07,2000,1694.800049,1355.619995,0.008161476,-0.025631098,,,,
