country,wgrowth1215,wgrowth0006_precrisis,wgrowth0815_post_crisis,wgrowth0912
Australia,-.0048796739,.009709225,.0065223575,.023324534
Austria,.0035070924,.0087569607,.0023252855,-.0031598127
Belgium,.003311438,.0031895391,.0041819536,.0035995152
Canada,.010281967,.014225659,.011991804,.014121137
Czech Republic,.0051577967,.050166458,.006334668,.010488141
Denmark,.012731164,.018888928,.0093472628,.0010975081
Estonia,.045343906,.06430807,.010250881,-.006712724
Finland,.00082464499,.019244839,.0043253889,.0065904669
France,.009760621,.013518976,.012037672,.0082020238
Germany,.015611666,.0021480368,.011857445,.010755043
Greece,-.014513684,.030098351,-.025542561,-.059210591
Hungary,.0061349161,.052724462,-.0083884215,-.013626883
Ireland,-.012368979,.024708634,.0009354428,-.0099020349
Italy,.0045172567,.0059332666,-.002608188,-.012176016
Japan,-.001733542,-.0021906344,.0017201102,.010598253
Korea,.0089518707,.027458766,.0056127831,.0047003818
Latvia,.06742876,.069560714,.0080219572,-.012088987
Luxembourg,.014832342,.010586111,.0078873849,-.0016103458
Mexico,-.0078603923,.024857644,-.010486288,-.0098504508
Netherlands,.0041593476,.0079077007,.0074649593,.00048799682
Norway,.011220222,.029445061,.01674526,.024596654
Poland,.022362413,.0079743257,.012701735,.0080931094
Portugal,-.0035587489,-.0041043484,-.0053557456,-.0237308
Slovak Republic,.019744331,.031108771,.016541231,.0077303108
Slovenia,.010599924,.030133786,.005594865,-.00052655226
Spain,.0024256851,-.00066321407,.0013748072,-.020837963
Sweden,.013610497,.01668801,.012577999,.013551304
Switzerland,.0086382963,.010282114,.0098636048,.007787779
United Kingdom,-.0010450799,.020309743,-.0072633401,-.018366897
United States,.0099541005,.010738514,.0079190023,.0056365374
