year,gr_w,re_w,gr_noChina,re_noChina,gr_advanced,re_advanced,gr_euro,re_euro
2005,4.945717,,3.773074,,2.793656,,1.764305,
2006,5.494529,5.078641,4.171132,3.608457,3.042226,2.396344,3.32944,1.998638
2007,5.495871,6.199504,3.899105,4.940933,2.663559,2.806091,3.106819,1.589167
2008,2.726432,10.98451,1.453503,6.491673,0.172541,5.393851,0.4347933,3.246113
2009,-0.3506724,9.897283,-2.110419,7.165938,-3.312635,6.811023,-4.526292,3.912704
2010,5.007551,2.553539,3.977121,1.0002,2.990231,-0.0415768,2.17248,2.007725
2011,3.785477,2.833573,2.732555,1.177167,1.720118,-0.0511711,1.801887,-1.275015
2012,2.948736,3.542716,2.064638,1.552909,1.292821,0.0549209,-0.6676634,0.2630985
2013,2.839124,3.070228,1.946439,1.422797,1.178281,-0.1515037,-0.2032848,-0.8823835
2014,3.068706,2.967777,2.289237,1.845439,1.86672,0.8030674,0.8899705,1.033754
2015,2.830417,3.877966,2.096764,2.633631,1.998706,1.956148,1.490911,0.0411151
2016,3.104389,1.977869,2.515709,1.325625,2.240219,1.004836,1.635851,0.1859872
