iso3,year,population,real_gdp_growth,totalGDP,totalGDP2015,real_spending_growth,advanced,euroarea
"AFG",2005,24.861,11.83,6166746112,19680847872,,0,0
"AFG",2006,25.631,5.361,6925214208,19680847872,22.84141,0,0
"AFG",2007,26.349,13.34,8555652096,19680847872,33.00167,0,0
"AFG",2008,27.032,3.863,10296759296,19680847872,1.15434,0,0
"AFG",2009,27.708,20.585,12066058240,19680847872,22.03759,0,0
"AFG",2010,28.398,8.438,15325463552,19680847872,6.549018,0,0
"AFG",2011,29.105,6.479,17889708032,19680847872,12.15904,0,0
"AFG",2012,29.825,13.968,20295913472,19680847872,30.18672,0,0
"AFG",2013,30.55,3.933,20169750528,19680847872,3.713014,0,0
"AFG",2014,31.279,1.282,20444235776,19680847872,3.878626,0,0
"AFG",2015,32.007,2.041,19680847872,19680847872,17.6363,0,0
"AFG",2016,32.739,2.984,19653810176,19680847872,5.084633,0,0
"AFG",2017,33.471,3.982,20929249280,19680847872,9.081644,0,0
"AFG",2018,34.203,4.977,22214848512,19680847872,9.257589,0,0
"AFG",2019,34.935,6.016,23818858496,19680847872,8.86178,0,0
"AFG",2020,35.667,6.008,25540388864,19680847872,10.28959,0,0
"AGO",2005,18.688,18.262,28234053632,102011682816,,0,0
"AGO",2006,19.248,20.735,41788620800,102011682816,33.334,0,0
"AGO",2007,19.826,22.593,60449333248,102011682816,31.563,0,0
"AGO",2008,20.421,13.817,84179607552,102011682816,53.15114,0,0
"AGO",2009,21.033,2.413,75491516416,102011682816,-22.50615,0,0
"AGO",2010,21.664,3.408,82469953536,102011682816,-1.246653,0,0
"AGO",2011,22.314,3.919,104115052544,102011682816,4.254596,0,0
"AGO",2012,22.984,5.155,115343622144,102011682816,8.169143,0,0
"AGO",2013,23.673,6.804,124173287424,102011682816,5.461027,0,0
"AGO",2014,24.383,4.796,129324335104,102011682816,5.531037,0,0
"AGO",2015,25.115,3.488,102011682816,102011682816,-22.07881,0,0
"AGO",2016,25.868,3.524,98813820928,102011682816,-2.975577,0,0
"AGO",2017,26.644,3.771,105367560192,102011682816,6.730229,0,0
"AGO",2018,27.444,4.248,112534945792,102011682816,.074318,0,0
"AGO",2019,28.267,4.658,119403225088,102011682816,.5784389,0,0
"AGO",2020,29.115,5.178,127150587904,102011682816,1.985703,0,0
"ALB",2005,3.004,5.773,8157791744,11592088576,,0,0
"ALB",2006,2.981,5.431,9000649728,11592088576,6.772684,0,0
"ALB",2007,2.955,5.905,10698866688,11592088576,7.248466,0,0
"ALB",2008,2.927,7.536,12900796416,11592088576,16.66468,0,0
"ALB",2009,2.898,3.354,12092612608,11592088576,6.458413,0,0
"ALB",2010,2.87,3.707,11925206016,11592088576,-6.74247,0,0
"ALB",2011,2.843,2.545,12891213824,11592088576,.9285291,0,0
"ALB",2012,2.816,1.624,12345628672,11592088576,-1.014206,0,0
"ALB",2013,2.788,1.393,12917456896,11592088576,3.930101,0,0
"ALB",2014,2.774,1.854,13277903872,11592088576,11.45536,0,0
"ALB",2015,2.76,2.7,11592088576,11592088576,4.368361,0,0
"ALB",2016,2.746,3.4,12204030976,11592088576,.5742092,0,0
"ALB",2017,2.732,4,13212697600,11592088576,-.1946109,0,0
"ALB",2018,2.719,4.25,14342931456,11592088576,4.884549,0,0
"ALB",2019,2.705,4.25,15552616448,11592088576,4.866899,0,0
"ALB",2020,2.691,4.25,16992777216,11592088576,3.706716,0,0
"ARE",2005,4.106,4.855,180617461760,339092406272,,0,0
"ARE",2006,5.012,9.837,222099685376,339092406272,9.024704,0,0
"ARE",2007,6.219,3.184,257916190720,339092406272,16.57078,0,0
"ARE",2008,8.074,3.192,315490238464,339092406272,28.29866,0,0
"ARE",2009,8.2,-5.243,253547659264,339092406272,51.0806,0,0
"ARE",2010,8.264,1.635,286033215488,339092406272,-5.175436,0,0
"ARE",2011,8.512,4.885,347437727744,339092406272,1.054547,0,0
"ARE",2012,8.768,7.222,373439397888,339092406272,-.3688923,0,0
"ARE",2013,9.031,4.321,387200483328,339092406272,9.044422,0,0
"ARE",2014,9.302,4.57,399463022592,339092406272,12.16165,0,0
