iso3,year,population,real_gdp_growth,totalGDP,totalGDP2015,real_spending_growth,advanced,euroarea
"AFG",2005,24.861,11.83,6.17e+09,1.97e+10,,0,0
"AFG",2006,25.631,5.361,6.93e+09,1.97e+10,22.84141,0,0
"AFG",2007,26.349,13.34,8.56e+09,1.97e+10,33.00167,0,0
"AFG",2008,27.032,3.863,1.03e+10,1.97e+10,1.15434,0,0
"AFG",2009,27.708,20.585,1.21e+10,1.97e+10,22.03759,0,0
"AFG",2010,28.398,8.438,1.53e+10,1.97e+10,6.549018,0,0
"AFG",2011,29.105,6.479,1.79e+10,1.97e+10,12.15904,0,0
"AFG",2012,29.825,13.968,2.03e+10,1.97e+10,30.18672,0,0
"AFG",2013,30.55,3.933,2.02e+10,1.97e+10,3.713014,0,0
"AFG",2014,31.279,1.282,2.04e+10,1.97e+10,3.878626,0,0
"AFG",2015,32.007,2.041,1.97e+10,1.97e+10,17.6363,0,0
"AFG",2016,32.739,2.984,1.97e+10,1.97e+10,5.084633,0,0
"AFG",2017,33.471,3.982,2.09e+10,1.97e+10,9.081644,0,0
"AFG",2018,34.203,4.977,2.22e+10,1.97e+10,9.257589,0,0
"AFG",2019,34.935,6.016,2.38e+10,1.97e+10,8.86178,0,0
"AFG",2020,35.667,6.008,2.55e+10,1.97e+10,10.28959,0,0
"AGO",2005,18.688,18.262,2.82e+10,1.02e+11,,0,0
"AGO",2006,19.248,20.735,4.18e+10,1.02e+11,33.334,0,0
"AGO",2007,19.826,22.593,6.04e+10,1.02e+11,31.563,0,0
"AGO",2008,20.421,13.817,8.42e+10,1.02e+11,53.15114,0,0
"AGO",2009,21.033,2.413,7.55e+10,1.02e+11,-22.50615,0,0
"AGO",2010,21.664,3.408,8.25e+10,1.02e+11,-1.246653,0,0
"AGO",2011,22.314,3.919,1.04e+11,1.02e+11,4.254596,0,0
"AGO",2012,22.984,5.155,1.15e+11,1.02e+11,8.169143,0,0
"AGO",2013,23.673,6.804,1.24e+11,1.02e+11,5.461027,0,0
"AGO",2014,24.383,4.796,1.29e+11,1.02e+11,5.531037,0,0
"AGO",2015,25.115,3.488,1.02e+11,1.02e+11,-22.07881,0,0
"AGO",2016,25.868,3.524,9.88e+10,1.02e+11,-2.975577,0,0
"AGO",2017,26.644,3.771,1.05e+11,1.02e+11,6.730229,0,0
"AGO",2018,27.444,4.248,1.13e+11,1.02e+11,.074318,0,0
"AGO",2019,28.267,4.658,1.19e+11,1.02e+11,.5784389,0,0
"AGO",2020,29.115,5.178,1.27e+11,1.02e+11,1.985703,0,0
"ALB",2005,3.004,5.773,8.16e+09,1.16e+10,,0,0
"ALB",2006,2.981,5.431,9.00e+09,1.16e+10,6.772684,0,0
"ALB",2007,2.955,5.905,1.07e+10,1.16e+10,7.248466,0,0
"ALB",2008,2.927,7.536,1.29e+10,1.16e+10,16.66468,0,0
"ALB",2009,2.898,3.354,1.21e+10,1.16e+10,6.458413,0,0
"ALB",2010,2.87,3.707,1.19e+10,1.16e+10,-6.74247,0,0
"ALB",2011,2.843,2.545,1.29e+10,1.16e+10,.9285291,0,0
"ALB",2012,2.816,1.624,1.23e+10,1.16e+10,-1.014206,0,0
"ALB",2013,2.788,1.393,1.29e+10,1.16e+10,3.930101,0,0
"ALB",2014,2.774,1.854,1.33e+10,1.16e+10,11.45536,0,0
"ALB",2015,2.76,2.7,1.16e+10,1.16e+10,4.368361,0,0
"ALB",2016,2.746,3.4,1.22e+10,1.16e+10,.5742092,0,0
"ALB",2017,2.732,4,1.32e+10,1.16e+10,-.1946109,0,0
"ALB",2018,2.719,4.25,1.43e+10,1.16e+10,4.884549,0,0
"ALB",2019,2.705,4.25,1.56e+10,1.16e+10,4.866899,0,0
"ALB",2020,2.691,4.25,1.70e+10,1.16e+10,3.706716,0,0
"ARE",2005,4.106,4.855,1.81e+11,3.39e+11,,0,0
"ARE",2006,5.012,9.837,2.22e+11,3.39e+11,9.024704,0,0
"ARE",2007,6.219,3.184,2.58e+11,3.39e+11,16.57078,0,0
"ARE",2008,8.074,3.192,3.15e+11,3.39e+11,28.29866,0,0
"ARE",2009,8.2,-5.243,2.54e+11,3.39e+11,51.0806,0,0
"ARE",2010,8.264,1.635,2.86e+11,3.39e+11,-5.175436,0,0
"ARE",2011,8.512,4.885,3.47e+11,3.39e+11,1.054547,0,0
"ARE",2012,8.768,7.222,3.73e+11,3.39e+11,-.3688923,0,0
"ARE",2013,9.031,4.321,3.87e+11,3.39e+11,9.044422,0,0
"ARE",2014,9.302,4.57,3.99e+11,3.39e+11,12.16165,0,0
"ARE",2015,9.581,2.998,3.39e+11,3.39e+11,15.59475,0,0
"ARE",2016,9.856,3.134,3.56e+11,3.39e+11,-5.022043,0,0
"ARE",2017,10.139,3.257,3.83e+11,3.39e+11,-2.931615,0,0
"ARE",2018,10.43,3.455,4.10e+11,3.39e+11,-2.396065,0,0
"ARE",2019,10.749,3.641,4.38e+11,3.39e+11,-1.566818,0,0
"ARE",2020,11.077,3.818,4.69e+11,3.39e+11,-1.509789,0,0
"ARG",2005,38.592,9.226,2.21e+11,5.79e+11,,0,0
"ARG",2006,38.971,8.375,2.63e+11,5.79e+11,10.21851,0,0
"ARG",2007,39.356,7.966,3.29e+11,5.79e+11,18.90476,0,0
"ARG",2008,39.746,3.075,4.04e+11,5.79e+11,9.245908,0,0
"ARG",2009,40.134,.05,3.77e+11,5.79e+11,12.85795,0,0
"ARG",2010,40.788,9.452,4.62e+11,5.79e+11,10.01922,0,0
"ARG",2011,41.261,8.386,5.59e+11,5.79e+11,16.13958,0,0
"ARG",2012,41.733,.802,6.08e+11,5.79e+11,7.638245,0,0
"ARG",2013,42.203,2.885,6.22e+11,5.79e+11,7.637478,0,0
"ARG",2014,42.643,.465,5.43e+11,5.79e+11,8.214508,0,0
"ARG",2015,43.096,.411,5.79e+11,5.79e+11,6.166297,0,0
"ARG",2016,43.564,-.745,5.79e+11,5.79e+11,-1.667562,0,0
"ARG",2017,44.045,.004,5.90e+11,5.79e+11,.8394641,0,0
"ARG",2018,44.536,.144,6.03e+11,5.79e+11,.705313,0,0
"ARG",2019,45.037,.21,6.17e+11,5.79e+11,.826625,0,0
"ARG",2020,45.548,.235,6.34e+11,5.79e+11,1.122048,0,0
"ARM",2005,3.01,14.113,4.90e+09,1.06e+10,,0,0
"ARM",2006,3,13.198,6.38e+09,1.06e+10,13.93475,0,0
"ARM",2007,2.99,13.749,9.21e+09,1.06e+10,27.50848,0,0
"ARM",2008,2.98,6.948,1.17e+10,1.06e+10,6.071343,0,0
"ARM",2009,2.97,-14.15,8.65e+09,1.06e+10,10.24107,0,0
"ARM",2010,2.96,2.2,9.26e+09,1.06e+10,-6.222217,0,0
"ARM",2011,2.96,4.7,1.01e+10,1.06e+10,-.2398187,0,0
"ARM",2012,2.97,7.134,1.06e+10,1.06e+10,-3.807062,0,0
"ARM",2013,2.98,3.533,1.11e+10,1.06e+10,9.915264,0,0
"ARM",2014,2.985,3.431,1.16e+10,1.06e+10,3.962262,0,0
"ARM",2015,2.99,2.464,1.06e+10,1.06e+10,8.956346,0,0
"ARM",2016,2.991,2.167,1.07e+10,1.06e+10,.9108825,0,0
"ARM",2017,2.991,2.75,1.11e+10,1.06e+10,.1705523,0,0
"ARM",2018,2.991,3,1.16e+10,1.06e+10,1.113648,0,0
"ARM",2019,2.991,3.5,1.23e+10,1.06e+10,3.947379,0,0
"ARM",2020,2.992,3.5,1.29e+10,1.06e+10,3.484964,0,0
"ATG",2005,.08,7.214,9.94e+08,1.28e+09,,0,0
"ATG",2006,.081,12.715,1.13e+09,1.28e+09,.086726,0,0
"ATG",2007,.082,7.07,1.29e+09,1.28e+09,-7.709266,0,0
"ATG",2008,.083,1.542,1.35e+09,1.28e+09,2.793924,0,0
"ATG",2009,.084,-10.666,1.21e+09,1.28e+09,21.72791,0,0
"ATG",2010,.085,-8.528,1.14e+09,1.28e+09,-43.69496,0,0
"ATG",2011,.086,-1.867,1.14e+09,1.28e+09,3.714918,0,0
"ATG",2012,.086,3.609,1.20e+09,1.28e+09,-9.45189,0,0
"ATG",2013,.087,1.537,1.18e+09,1.28e+09,11.99116,0,0
"ATG",2014,.088,4.206,1.24e+09,1.28e+09,3.606326,0,0
"ATG",2015,.089,2.15,1.28e+09,1.28e+09,34.10732,0,0
"ATG",2016,.09,2.13,1.32e+09,1.28e+09,-33.77726,0,0
"ATG",2017,.091,2.4,1.38e+09,1.28e+09,1.325663,0,0
"ATG",2018,.092,2.7,1.45e+09,1.28e+09,2.737433,0,0
"ATG",2019,.093,2.7,1.53e+09,1.28e+09,1.734996,0,0
"ATG",2020,.094,2.7,1.61e+09,1.28e+09,2.294448,0,0
"AUS",2005,20.312,3.214,7.34e+11,1.24e+12,,1,0
"AUS",2006,20.628,2.655,7.81e+11,1.24e+12,2.451488,1,0
"AUS",2007,21.016,4.52,9.47e+11,1.24e+12,3.71026,1,0
"AUS",2008,21.476,2.671,1.04e+12,1.24e+12,4.86351,1,0
"AUS",2009,21.866,1.575,9.82e+11,1.24e+12,9.905092,1,0
"AUS",2010,22.172,2.25,1.24e+12,1.24e+12,.0431263,1,0
"AUS",2011,22.52,2.722,1.50e+12,1.24e+12,1.270952,1,0
"AUS",2012,22.921,3.6,1.56e+12,1.24e+12,4.314852,1,0
"AUS",2013,23.295,2.067,1.50e+12,1.24e+12,2.144438,1,0
"AUS",2014,23.626,2.731,1.44e+12,1.24e+12,3.14307,1,0
"AUS",2015,24.027,2.373,1.24e+12,1.24e+12,2.988313,1,0
"AUS",2016,24.445,2.853,1.25e+12,1.24e+12,1.938504,1,0
"AUS",2017,24.863,3.06,1.32e+12,1.24e+12,1.528735,1,0
"AUS",2018,25.281,2.967,1.38e+12,1.24e+12,2.181837,1,0
"AUS",2019,25.698,2.945,1.44e+12,1.24e+12,3.097755,1,0
"AUS",2020,26.112,2.838,1.52e+12,1.24e+12,2.850678,1,0
"AUT",2005,8.201,2.141,3.15e+11,3.73e+11,,1,1
