county_name,votes_cruz,votes_orourke,votes_total,registered_voters,turnout_rate,vote_share_cruz,vote_share_orourke,win_cruz,win_orourke
ANDERSON,11315,3287,14694,28487,51.58,77.004219,22.369675,1,0
ANDREWS,3338,776,4131,9574,43.14,80.80368,18.784798,1,0
ANGELINA,19153,7123,26429,51751,51.06,72.469635,26.951456,1,0
ARANSAS,6648,2229,8932,17308,51.6,74.429016,24.955217,1,0
ARCHER,3208,376,3602,6317,57.02,89.06163,10.438644,1,0
ARMSTRONG,819,74,899,1428,62.95,91.101227,8.2313681,1,0
ATASCOSA,7737,4325,12181,27338,44.55,63.516953,35.506119,1,0
AUSTIN,8702,2237,11023,19406,56.8,78.944031,20.29393,1,0
BAILEY,1202,405,1614,3727,43.3,74.473358,25.092936,1,0
BANDERA,7643,1865,9584,15869,60.39,79.747498,19.459517,1,0
BASTROP,15049,12066,27427,47438,57.81,54.869289,43.993145,1,0
BAYLOR,1070,156,1235,2365,52.21,86.639679,12.631578,1,0
BEE,4341,2809,7214,15883,45.41,60.174664,38.938175,1,0
BELL,47279,38191,86190,195760,44.02,54.854393,44.310246,1,0
BEXAR,216428,324688,546107,1098257,49.72,39.631062,59.455013,0,1
BLANCO,4180,1567,5804,8504,68.25,72.019295,26.998621,1,0
BORDEN,320,22,343,488,70.28,93.294456,6.4139938,1,0
BOSQUE,5699,1365,7127,12209,58.37,79.963516,19.152519,1,0
BOWIE,20131,7960,28273,59618,47.42,71.202209,28.15407,1,0
BRAZORIA,65470,45068,111370,207446,53.68,58.78603,40.466915,1,0
BRAZOS,35724,27642,63998,114377,55.95,55.820496,43.191975,1,0
BREWSTER,1868,2144,4072,7292,55.84,45.87426,52.652256,0,1
BRISCOE,563,69,634,1084,58.48,88.801262,10.883281,1,0
BROOKS,543,1376,1923,5843,32.91,28.237129,71.554863,0,1
BROWN,10386,1669,12126,23368,51.89,85.650673,13.763814,1,0
BURLESON,5077,1425,6547,11782,55.56,77.546967,21.765694,1,0
BURNET,13791,4417,18395,31072,59.2,74.971458,24.011959,1,0
CALDWELL,6131,5212,11449,23777,48.15,53.550529,45.523624,1,0
CALHOUN,4198,1874,6119,12835,47.67,68.60598,30.625919,1,0
CALLAHAN,4363,608,5011,9337,53.66,87.068451,12.133307,1,0
